clinical_score,clinical_label,stimulus_set,metric,performance_variable,method,estimate,conf_low,conf_high,p_value,n,fdr_family,p_fdr
hamd6_score,HAMD-6 total,FACES,Correct RT,correct_rt_common_mean_sec,spearman,-0.0278029077433005,-0.12256992766479483,0.07215932635718843,0.580722945415365,397,"FACES, AI-white, and AI-diverse correlations",0.7335447731562504
isi_score,ISI total,AI-diverse,Accuracy,accuracy_common_pct,pearson,-0.06682524941249855,-0.1371778857550194,8.88355679913043e-4,0.03318834702063838,1016,"FACES, AI-white, and AI-diverse correlations",0.05689430917823722
isi_score,ISI total,AI-diverse,Accuracy,accuracy_common_pct,spearman,-0.048906761536133755,-0.11170432263109038,0.013598227320952023,0.11925592922501238,1016,"FACES, AI-white, and AI-diverse correlations",0.19424232508574357
isi_score,ISI total,AI-diverse,Correct RT,correct_rt_common_mean_sec,pearson,-0.04008201278558849,-0.09395332362504692,0.01696117783301881,0.20287903169097338,1011,"FACES, AI-white, and AI-diverse correlations",0.7248856757970336
isi_score,ISI total,AI-diverse,Correct RT,correct_rt_common_mean_sec,spearman,-0.05156314734534825,-0.11230924954754554,0.01108370404285241,0.1013017341052517,1011,"FACES, AI-white, and AI-diverse correlations",0.3629087317087372
isi_score,ISI total,AI-white,Accuracy,accuracy_common_pct,pearson,-0.05773547234431509,-0.12263190087450429,0.010046725420419709,0.06731529583677374,1005,"FACES, AI-white, and AI-diverse correlations",0.107704473338838
isi_score,ISI total,AI-white,Accuracy,accuracy_common_pct,spearman,-0.044056462377695775,-0.11045779162970604,0.022390372080717688,0.16283323493804208,1005,"FACES, AI-white, and AI-diverse correlations",0.24424985240706312
isi_score,ISI total,AI-white,Correct RT,correct_rt_common_mean_sec,pearson,-0.030282561053106276,-0.08180937449452387,0.029482754760083447,0.3368193084718967,1008,"FACES, AI-white, and AI-diverse correlations",0.7615008635864227
isi_score,ISI total,AI-white,Correct RT,correct_rt_common_mean_sec,spearman,-0.05133584919918637,-0.10958705655852152,0.013115880983688558,0.10333112354739209,1008,"FACES, AI-white, and AI-diverse correlations",0.3629087317087372
isi_score,ISI total,All-stimuli,Accuracy,accuracy_common_pct,pearson,-0.08082482003637431,-0.1449809878415025,-0.01519587069630839,0.009957045046390752,1016,All-stimuli correlations,0.015931272074225202
isi_score,ISI total,All-stimuli,Accuracy,accuracy_common_pct,spearman,-0.06312591753157895,-0.12203683730738007,-0.004125360044546656,0.04425655464586308,1016,All-stimuli correlations,0.07081048743338093
