sample,variable,summary_type,level_or_statistic,value,denominator,percent
Primary RT sample,minispin_score,numeric,median,5,1046,
Primary RT sample,minispin_score,numeric,q25,2,1046,
Primary RT sample,minispin_score,numeric,q75,8,1046,
Primary RT sample,minispin_score,numeric,min,0,1046,
Primary RT sample,minispin_score,numeric,max,12,1046,
Primary RT sample,asrs_score,numeric,n,1019,1046,
Primary RT sample,asrs_score,numeric,missing,27,1046,
Primary RT sample,asrs_score,numeric,mean,27.048086359175663,1046,
Primary RT sample,asrs_score,numeric,sd,15.900372651611605,1046,
Primary RT sample,asrs_score,numeric,median,26,1046,
Primary RT sample,asrs_score,numeric,q25,15,1046,
Primary RT sample,asrs_score,numeric,q75,38,1046,
Primary RT sample,asrs_score,numeric,min,0,1046,
Primary RT sample,asrs_score,numeric,max,72,1046,
Primary RT sample,gad7_score,numeric,n,444,1046,
Primary RT sample,gad7_score,numeric,missing,602,1046,
Primary RT sample,gad7_score,numeric,mean,11.801801801801801,1046,
Primary RT sample,gad7_score,numeric,sd,4.715508862701666,1046,
Primary RT sample,gad7_score,numeric,median,12,1046,
Primary RT sample,gad7_score,numeric,q25,8,1046,
Primary RT sample,gad7_score,numeric,q75,15,1046,
Primary RT sample,gad7_score,numeric,min,0,1046,
Primary RT sample,gad7_score,numeric,max,21,1046,
Primary RT sample,hamd6_score,numeric,n,399,1046,
Primary RT sample,hamd6_score,numeric,missing,647,1046,
Primary RT sample,hamd6_score,numeric,mean,9.859649122807017,1046,
Primary RT sample,hamd6_score,numeric,sd,3.5202716428409233,1046,
Primary RT sample,hamd6_score,numeric,median,9,1046,
Primary RT sample,hamd6_score,numeric,q25,8,1046,
Primary RT sample,hamd6_score,numeric,q75,12,1046,
Primary RT sample,hamd6_score,numeric,min,1,1046,
Primary RT sample,hamd6_score,numeric,max,21,1046,
Primary RT sample,gender_original,categorical,Man,464,1046,44.35946462715105
Primary RT sample,gender_original,categorical,Missing,38,1046,3.632887189292543
Primary RT sample,gender_original,categorical,Non-binary,27,1046,2.581261950286807
Primary RT sample,gender_original,categorical,Other,2,1046,0.19120458891013384
Primary RT sample,gender_original,categorical,Rather not say,1,1046,0.09560229445506692
Primary RT sample,gender_original,categorical,Woman,514,1046,49.1395793499044
Primary RT sample,participant_ethnicity_group,categorical,Asian,62,1046,5.927342256214149
Primary RT sample,participant_ethnicity_group,categorical,Black,122,1046,11.663479923518166
Primary RT sample,participant_ethnicity_group,categorical,Latino,38,1046,3.632887189292543
Primary RT sample,participant_ethnicity_group,categorical,Missing,39,1046,3.72848948374761
