sample,variable,summary_type,level_or_statistic,value,denominator,percent
White-status moderation,participant_ethnicity_group,categorical,Latino,38,999,3.8038038038038042
White-status moderation,participant_ethnicity_group,categorical,Mixed/multiple,47,999,4.704704704704705
White-status moderation,participant_ethnicity_group,categorical,Multiple categories selected,48,999,4.804804804804805
White-status moderation,participant_ethnicity_group,categorical,Other,7,999,0.7007007007007007
White-status moderation,participant_ethnicity_group,categorical,White,675,999,67.56756756756756
White-status moderation,education,categorical,Attended college but has not graduated,223,999,22.32232232232232
White-status moderation,education,categorical,Attended graduate school,51,999,5.105105105105105
White-status moderation,education,categorical,Completed master's or doctoral degree,172,999,17.217217217217218
White-status moderation,education,categorical,Graduated college,372,999,37.23723723723724
White-status moderation,education,categorical,Graduated high school or completed GED,164,999,16.416416416416414
White-status moderation,education,categorical,Has not completed high school,17,999,1.7017017017017018
White-status moderation,employment,categorical,Disabled,64,999,6.406406406406406
White-status moderation,employment,categorical,Full Time,476,999,47.647647647647645
White-status moderation,employment,categorical,Homemaker,52,999,5.205205205205205
White-status moderation,employment,categorical,Part Time,183,999,18.31831831831832
White-status moderation,employment,categorical,Retired (other than disability),49,999,4.904904904904905
White-status moderation,employment,categorical,Seeking work,56,999,5.605605605605605
White-status moderation,employment,categorical,Studying,54,999,5.405405405405405
White-status moderation,employment,categorical,Unemployed,65,999,6.506506506506507
White-status moderation,prior_mh_status,categorical,Missing,1,999,0.10010010010010009
White-status moderation,prior_mh_status,categorical,No prior condition reported,160,999,16.016016016016017
White-status moderation,prior_mh_status,categorical,Prior condition reported,838,999,83.88388388388388
White-status moderation,task_position,categorical,Position 1,342,999,34.234234234234236
White-status moderation,task_position,categorical,Position 2,332,999,33.233233233233236
White-status moderation,task_position,categorical,Position 3,297,999,29.72972972972973
White-status moderation,task_position,categorical,Position 4,28,999,2.8028028028028027
Clinical: cape15_score,age,numeric,n,997,1019,
Clinical: cape15_score,age,numeric,missing,22,1019,
Clinical: cape15_score,age,numeric,mean,41.23470411233701,1019,
Clinical: cape15_score,age,numeric,sd,13.67439341905995,1019,
Clinical: cape15_score,age,numeric,median,40,1019,
Clinical: cape15_score,age,numeric,q25,30,1019,
Clinical: cape15_score,age,numeric,q75,51,1019,
Clinical: cape15_score,age,numeric,min,18,1019,
Clinical: cape15_score,age,numeric,max,80,1019,
Clinical: cape15_score,cape15_score,numeric,n,1019,1019,
Clinical: cape15_score,cape15_score,numeric,missing,0,1019,
Clinical: cape15_score,cape15_score,numeric,mean,22.197252208047104,1019,
Clinical: cape15_score,cape15_score,numeric,sd,7.493766388266196,1019,
Clinical: cape15_score,cape15_score,numeric,median,20,1019,
Clinical: cape15_score,cape15_score,numeric,q25,17,1019,
Clinical: cape15_score,cape15_score,numeric,q75,25,1019,
Clinical: cape15_score,cape15_score,numeric,min,15,1019,
Clinical: cape15_score,cape15_score,numeric,max,55,1019,
Clinical: cape15_score,altman_srms_score,numeric,n,1019,1019,
Clinical: cape15_score,altman_srms_score,numeric,missing,0,1019,
Clinical: cape15_score,altman_srms_score,numeric,mean,4.058881256133464,1019,
Clinical: cape15_score,altman_srms_score,numeric,sd,3.489313903523188,1019,
Clinical: cape15_score,altman_srms_score,numeric,median,3,1019,
Clinical: cape15_score,altman_srms_score,numeric,q25,1,1019,
Clinical: cape15_score,altman_srms_score,numeric,q75,6,1019,
Clinical: cape15_score,altman_srms_score,numeric,min,0,1019,
Clinical: cape15_score,altman_srms_score,numeric,max,19,1019,
Clinical: cape15_score,isi_score,numeric,n,1018,1019,
Clinical: cape15_score,isi_score,numeric,missing,1,1019,
Clinical: cape15_score,isi_score,numeric,mean,9.953831041257367,1019,
Clinical: cape15_score,isi_score,numeric,sd,6.53910632750215,1019,
Clinical: cape15_score,isi_score,numeric,median,9,1019,
Clinical: cape15_score,isi_score,numeric,q25,5,1019,
Clinical: cape15_score,isi_score,numeric,q75,14,1019,
Clinical: cape15_score,isi_score,numeric,min,0,1019,
Clinical: cape15_score,isi_score,numeric,max,28,1019,
Clinical: cape15_score,ocir_score,numeric,n,1017,1019,
Clinical: cape15_score,ocir_score,numeric,missing,2,1019,
Clinical: cape15_score,ocir_score,numeric,mean,17.563421828908556,1019,
Clinical: cape15_score,ocir_score,numeric,sd,14.519812668664349,1019,
Clinical: cape15_score,ocir_score,numeric,median,14,1019,
Clinical: cape15_score,ocir_score,numeric,q25,5,1019,
Clinical: cape15_score,ocir_score,numeric,q75,27,1019,
Clinical: cape15_score,ocir_score,numeric,min,0,1019,
Clinical: cape15_score,ocir_score,numeric,max,69,1019,
Clinical: cape15_score,minispin_score,numeric,n,1017,1019,
Clinical: cape15_score,minispin_score,numeric,missing,2,1019,
Clinical: cape15_score,minispin_score,numeric,mean,5.279252704031465,1019,
Clinical: cape15_score,minispin_score,numeric,sd,3.745166469189849,1019,
Clinical: cape15_score,minispin_score,numeric,median,5,1019,
Clinical: cape15_score,minispin_score,numeric,q25,2,1019,
Clinical: cape15_score,minispin_score,numeric,q75,8,1019,
Clinical: cape15_score,minispin_score,numeric,min,0,1019,
Clinical: cape15_score,minispin_score,numeric,max,12,1019,
Clinical: cape15_score,asrs_score,numeric,n,1018,1019,
Clinical: cape15_score,asrs_score,numeric,missing,1,1019,
Clinical: cape15_score,asrs_score,numeric,mean,27.06679764243615,1019,
Clinical: cape15_score,asrs_score,numeric,sd,15.89695980780872,1019,
Clinical: cape15_score,asrs_score,numeric,median,26,1019,
Clinical: cape15_score,asrs_score,numeric,q25,15,1019,
Clinical: cape15_score,asrs_score,numeric,q75,38,1019,
Clinical: cape15_score,asrs_score,numeric,min,0,1019,
Clinical: cape15_score,asrs_score,numeric,max,72,1019,
Clinical: cape15_score,gad7_score,numeric,n,438,1019,
Clinical: cape15_score,gad7_score,numeric,missing,581,1019,
Clinical: cape15_score,gad7_score,numeric,mean,11.771689497716896,1019,
Clinical: cape15_score,gad7_score,numeric,sd,4.714059246141969,1019,
Clinical: cape15_score,gad7_score,numeric,median,12,1019,
Clinical: cape15_score,gad7_score,numeric,q25,8,1019,
Clinical: cape15_score,gad7_score,numeric,q75,15,1019,
Clinical: cape15_score,gad7_score,numeric,min,0,1019,
Clinical: cape15_score,gad7_score,numeric,max,21,1019,
Clinical: cape15_score,hamd6_score,numeric,n,393,1019,
Clinical: cape15_score,hamd6_score,numeric,missing,626,1019,
Clinical: cape15_score,hamd6_score,numeric,mean,9.8269720101781175,1019,
Clinical: cape15_score,hamd6_score,numeric,sd,3.5175341028952225,1019,
Clinical: cape15_score,hamd6_score,numeric,median,9,1019,
Clinical: cape15_score,hamd6_score,numeric,q25,8,1019,
Clinical: cape15_score,hamd6_score,numeric,q75,12,1019,
Clinical: cape15_score,hamd6_score,numeric,min,1,1019,
Clinical: cape15_score,hamd6_score,numeric,max,21,1019,
Clinical: cape15_score,gender_original,categorical,Man,461,1019,45.24043179587831
Clinical: cape15_score,gender_original,categorical,Missing,22,1019,2.1589793915603535
Clinical: cape15_score,gender_original,categorical,Non-binary,27,1019,2.649656526005888
Clinical: cape15_score,gender_original,categorical,Other,2,1019,0.19627085377821393
Clinical: cape15_score,gender_original,categorical,Rather not say,1,1019,0.09813542688910697
Clinical: cape15_score,gender_original,categorical,Woman,506,1019,49.656526005888125
Clinical: cape15_score,participant_ethnicity_group,categorical,Asian,61,1019,5.986261040235525
Clinical: cape15_score,participant_ethnicity_group,categorical,Black,119,1019,11.678115799803729
Clinical: cape15_score,participant_ethnicity_group,categorical,Latino,38,1019,3.729146221786065
Clinical: cape15_score,participant_ethnicity_group,categorical,Missing,23,1019,2.2571148184494603
Clinical: cape15_score,participant_ethnicity_group,categorical,Mixed/multiple,47,1019,4.612365063788027
Clinical: cape15_score,participant_ethnicity_group,categorical,Multiple categories selected,47,1019,4.612365063788027
Clinical: cape15_score,participant_ethnicity_group,categorical,Other,7,1019,0.6869479882237487
Clinical: cape15_score,participant_ethnicity_group,categorical,Prefer not to answer,8,1019,0.7850834151128557
Clinical: cape15_score,participant_ethnicity_group,categorical,White,669,1019,65.65260058881256
Clinical: cape15_score,education,categorical,Attended college but has not graduated,224,1019,21.98233562315996
Clinical: cape15_score,education,categorical,Attended graduate school,52,1019,5.103042198233562
Clinical: cape15_score,education,categorical,Completed master's or doctoral degree,170,1019,16.683022571148186
Clinical: cape15_score,education,categorical,Graduated college,371,1019,36.40824337585868
Clinical: cape15_score,education,categorical,Graduated high school or completed GED,162,1019,15.89793915603533
Clinical: cape15_score,education,categorical,Has not completed high school,17,1019,1.6683022571148183
Clinical: cape15_score,education,categorical,Missing,23,1019,2.2571148184494603
Clinical: cape15_score,employment,categorical,Disabled,64,1019,6.280667320902846
Clinical: cape15_score,employment,categorical,Full Time,472,1019,46.31992149165849
Clinical: cape15_score,employment,categorical,Homemaker,52,1019,5.103042198233562
Clinical: cape15_score,employment,categorical,Missing,23,1019,2.2571148184494603
Clinical: cape15_score,employment,categorical,Part Time,183,1019,17.958783120706574
Clinical: cape15_score,employment,categorical,Retired (other than disability),50,1019,4.906771344455349
Clinical: cape15_score,employment,categorical,Seeking work,56,1019,5.49558390578999
Clinical: cape15_score,employment,categorical,Studying,54,1019,5.299313052011776
Clinical: cape15_score,employment,categorical,Unemployed,65,1019,6.378802747791953
Clinical: cape15_score,prior_mh_status,categorical,Missing,24,1019,2.355250245338567
Clinical: cape15_score,prior_mh_status,categorical,No prior condition reported,159,1019,15.603532875368009
Clinical: cape15_score,prior_mh_status,categorical,Prior condition reported,836,1019,82.04121687929342
Clinical: cape15_score,task_position,categorical,Position 1,353,1019,34.64180569185476
Clinical: cape15_score,task_position,categorical,Position 2,339,1019,33.267909715407264
Clinical: cape15_score,task_position,categorical,Position 3,298,1019,29.244357212953876
Clinical: cape15_score,task_position,categorical,Position 4,29,1019,2.845927379784102
Clinical: altman_srms_score,age,numeric,n,998,1020,
Clinical: altman_srms_score,age,numeric,missing,22,1020,
Clinical: altman_srms_score,age,numeric,mean,41.23547094188377,1020,
Clinical: altman_srms_score,age,numeric,sd,13.66755539737367,1020,
Clinical: altman_srms_score,age,numeric,median,40,1020,
