clinical_score,clinical_label,metric,comparison,method,difference,conf_low,conf_high,p_value,n,p_fdr
hamd6_score,HAMD-6 total,Correct RT,AI-diverse minus FACES,spearman,0.005982562792309024,-0.06166099965009893,0.07007524648439944,0.8423153692614771,397,0.99140848737308
hamd6_score,HAMD-6 total,Correct RT,AI-white minus FACES,pearson,-0.020017727979855314,-0.1082708145254584,0.0712959919530463,0.7105788423153693,395,0.9620758483033932
hamd6_score,HAMD-6 total,Correct RT,AI-white minus FACES,spearman,-0.008223557068520838,-0.10006799014329248,0.08109075749792075,0.8622754491017964,395,0.99140848737308
isi_score,ISI total,Accuracy,AI-diverse minus AI-white,pearson,-0.004422891016940635,-0.04349736371524808,0.037519364195513924,0.8303393213572854,1005,0.9660678642714571
isi_score,ISI total,Accuracy,AI-diverse minus AI-white,spearman,-8.33284419992128e-4,-0.05306580505454407,0.050926933372616015,0.9860279441117764,1005,0.9860279441117764
isi_score,ISI total,Accuracy,AI-diverse minus FACES,pearson,0.002373690260886116,-0.05474542806342512,0.05931053435170183,0.9421157684630739,1016,0.9660678642714571
isi_score,ISI total,Accuracy,AI-diverse minus FACES,spearman,0.011653790947142771,-0.05456303395810007,0.0729019110889281,0.7425149700598802,1016,0.8666303756124115
isi_score,ISI total,Accuracy,AI-white minus FACES,pearson,0.005996169288640683,-0.055193373153570674,0.0701554043371985,0.8982035928143712,1005,0.9660678642714571
isi_score,ISI total,Accuracy,AI-white minus FACES,spearman,0.011076173810422883,-0.06503953877092397,0.08507065849034354,0.7944111776447106,1005,0.8666303756124115
isi_score,ISI total,Correct RT,AI-diverse minus AI-white,pearson,-0.008388790919563197,-0.03950322050206877,0.022551794317343696,0.5588822355289421,1007,0.9620758483033932
isi_score,ISI total,Correct RT,AI-diverse minus AI-white,spearman,0.0014116936251033843,-0.032504923058913324,0.035505467366579516,0.9181636726546906,1007,0.99140848737308
isi_score,ISI total,Correct RT,AI-diverse minus FACES,pearson,0.00549614691252831,-0.032701985676651044,0.04459582151379729,0.7864271457085829,1011,0.9620758483033932
isi_score,ISI total,Correct RT,AI-diverse minus FACES,spearman,-0.0031914660269832876,-0.042899706906733406,0.041731596848485486,0.9101796407185628,1011,0.99140848737308
isi_score,ISI total,Correct RT,AI-white minus FACES,pearson,0.016771563726739575,-0.03527581970134935,0.06516415722444402,0.5508982035928144,1008,0.9620758483033932
isi_score,ISI total,Correct RT,AI-white minus FACES,spearman,-5.864851979513336e-4,-0.053394178142988705,0.05463062284169708,0.9500998003992016,1008,0.99140848737308
minispin_score,Mini-SPIN total,Accuracy,AI-diverse minus AI-white,pearson,-0.0045585412990630375,-0.045186228755377866,0.03851390888700862,0.9141716566866267,1004,0.9660678642714571
minispin_score,Mini-SPIN total,Accuracy,AI-diverse minus AI-white,spearman,0.01730421746981039,-0.030228623559480923,0.06914031160964826,0.45109780439121755,1004,0.8666303756124115
minispin_score,Mini-SPIN total,Accuracy,AI-diverse minus FACES,pearson,0.015948338717731637,-0.041891825788094236,0.07377941385731963,0.5588822355289421,1015,0.9580838323353293
minispin_score,Mini-SPIN total,Accuracy,AI-diverse minus FACES,spearman,0.03661174457806297,-0.024009459174133434,0.10603850423690214,0.2714570858283433,1015,0.7238855622089155
minispin_score,Mini-SPIN total,Accuracy,AI-white minus FACES,pearson,0.02178653758433943,-0.03341556194356426,0.08681585060362812,0.5389221556886228,1004,0.9580838323353293
minispin_score,Mini-SPIN total,Accuracy,AI-white minus FACES,spearman,0.02046273821135204,-0.041297544662757125,0.09500273017001504,0.6227544910179641,1004,0.8666303756124115
minispin_score,Mini-SPIN total,Correct RT,AI-diverse minus AI-white,pearson,-0.00868858718144791,-0.04717327580509118,0.027820763875997804,0.7105788423153693,1006,0.9620758483033932
minispin_score,Mini-SPIN total,Correct RT,AI-diverse minus AI-white,spearman,-0.003959778591606823,-0.03784416647703637,0.03127322866261545,0.8902195608782435,1006,0.99140848737308
minispin_score,Mini-SPIN total,Correct RT,AI-diverse minus FACES,pearson,-0.006264917836733205,-0.05115652362540847,0.035211819775680185,0.782435129740519,1010,0.9620758483033932
