metric,participant_ethnicity_group,stimulus_set,n_participants,mean,sd,median,q25,q75,min,max
accuracy_common_pct,Mixed/multiple,All-stimuli,47,82.96492861960756,7.078034747607186,83.11688311688312,79.87516869095816,86.99248120300751,54.54545454545454,97.2972972972973
accuracy_common_pct,Mixed/multiple,FACES,47,78.3099512144365,7.903397035397696,78.04878048780488,74.64285714285714,83.0952380952381,59.09090909090909,94.28571428571428
accuracy_common_pct,Multiple categories selected,AI-diverse,48,84.20928631447377,10.968620486664479,87.87878787878788,81.34550084889644,90.975935828877,54.83870967741935,100
accuracy_common_pct,Multiple categories selected,AI-non-white,48,84.38634409435716,10.137845735099056,85.71428571428571,78.94021739130434,91.66666666666666,55.00000000000001,100
accuracy_common_pct,Multiple categories selected,AI-white,48,84.12782240907241,18.320753650070266,90,77.77777777777779,100,33.33333333333333,100
accuracy_common_pct,Multiple categories selected,All-stimuli,48,79.7767512711311,9.605674824421031,82.12153143659992,75.311850311850307,86.66666666666667,54.666666666666664,94.5945945945946
accuracy_common_pct,Multiple categories selected,FACES,48,75.87085591036771,10.356973203821752,77.52525252525253,68.81496881496881,83.61111111111111,54.54545454545454,97.5609756097561
accuracy_common_pct,Other,AI-diverse,7,87.64573850111223,4.89065711571937,88.23529411764706,83.99715504978663,90.87179487179488,80.95238095238095,94.5945945945946
accuracy_common_pct,Other,AI-non-white,7,87.04857381549111,5.934158105609045,88,84.52380952380952,90.44444444444444,76.66666666666667,94.73684210526316
accuracy_common_pct,Other,AI-white,7,89.18650793650794,6.183508746923577,88.88888888888889,85.41666666666667,91.66666666666666,81.25,100
accuracy_common_pct,Other,All-stimuli,7,81.5685228919146,4.9239087131506745,81.33333333333333,78.91521658644946,84.13386509450321,74.35897435897436,89.1891891891892
accuracy_common_pct,Other,FACES,7,75.76326019129456,7.932965588345368,75,69.21052631578948,81.25,66.66666666666666,87.75510204081633
accuracy_common_pct,Prefer not to answer,AI-diverse,7,82.08689987705968,12.311962742519698,82.92682926829268,77.45689655172413,91.41414141414141,60,93.93939393939394
accuracy_common_pct,Prefer not to answer,AI-non-white,7,81.2570498284784,11.2833058802623,81.48148148148148,76.78571428571428,88.6039886039886,61.53846153846154,95
accuracy_common_pct,Prefer not to answer,AI-white,7,84.55869527298098,17.07864254026279,91.66666666666666,76.19047619047618,96.15384615384616,55.55555555555556,100
accuracy_common_pct,Prefer not to answer,All-stimuli,7,80.89798258453517,9.725507137729714,84.93150684931507,78.94633764198981,86.54470079307859,61.038961038961034,89.33333333333333
accuracy_common_pct,Prefer not to answer,FACES,7,79.96872094097031,9.120121314204267,80,78.45588235294117,85.61046511627907,61.904761904761905,89.74358974358975
accuracy_common_pct,White,AI-diverse,674,86.59195747691884,10.512609396495906,88.73015873015873,82.35294117647058,93.75,5.88235294117647,100
accuracy_common_pct,White,AI-non-white,674,86.02933264767643,11.23640548288099,88,81.02678571428571,93.33333333333331,5,100
accuracy_common_pct,White,AI-white,669,87.95900823630974,13.194417266738162,90,83.33333333333334,100,7.142857142857142,100
accuracy_common_pct,White,All-stimuli,674,81.2429858193646,9.23358926346883,82.87593984962406,77.66812865497076,87.14285714285714,16.176470588235293,97.435897435897445
accuracy_common_pct,White,FACES,674,76.51285490137776,10.362345665840884,77.77777777777779,70.83333333333334,83.78378378378379,26.47058823529412,97.82608695652172
accuracy_common_pct,,AI-diverse,34,80.70614482803978,17.58135346422098,87.33974358974359,77.56944444444444,89.93589743589743,21.73913043478261,100
accuracy_common_pct,,AI-non-white,34,80.60334933530204,17.70094632029182,85.96059113300493,73.75,92.27053140096618,21.428571428571427,100
accuracy_common_pct,,AI-white,34,80.85783497548204,20.659765517297455,90,78.33333333333334,91.47727272727272,22.22222222222222,100
accuracy_common_pct,,All-stimuli,34,78.33675497917716,13.688370640080743,82.2072072072072,73.3108108108108,87.99342105263158,35.13513513513514,96.15384615384616
accuracy_common_pct,,FACES,34,75.54316341694833,13.79909260811001,79.53488372093022,66.66666666666666,86.64320685434517,41.17647058823529,95
