participant_id,trial_number,row_in_file,source,trial_stratum,target_emotion,response_emotion,correct,rt_sec,stimulus_id,face_age,face_gender,face_ethnicity,face_style,stimulus_variant,common_emotion,valid_trial_number,valid_source,valid_target,valid_stimulus_metadata,duplicate_trial_number,trial_number_occurrence,accuracy_included,rt_in_bounds,rt_included,task_position,gender_binary,participant_ethnicity_group,participant_white_status,face_white_status,gender_congruence,white_status_congruence,exact_ethnicity_congruence
participant_0003,56,56,AI,AI-non-white,anger,anger,TRUE,2.0781,S113,old,woman,latin,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,57,57,FACES,FACES,disgust,disgust,TRUE,1.7532,S177,middle,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,58,58,FACES,FACES,sad,fear,FALSE,6.0634,S185,middle,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,59,59,FACES,FACES,anger,neutral,FALSE,4.2344,S187,old,man,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,60,60,AI,AI-white,disgust,disgust,TRUE,1.8557,S142,young,man,white,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,61,61,FACES,FACES,happy,happy,TRUE,2.7638000000000003,S168,middle,man,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
participant_0003,62,62,AI,AI-non-white,disgust,disgust,TRUE,3.9803,S051,middle,woman,black,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,63,63,FACES,FACES,neutral,neutral,TRUE,2.5473000000000003,S207,old,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,64,64,FACES,FACES,disgust,disgust,TRUE,1.9614,S176,middle,woman,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,65,65,AI,AI-non-white,disgust,disgust,TRUE,1.5679,S107,old,woman,black,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,66,66,AI,AI-non-white,anger,anger,TRUE,1.9511,S148,young,woman,asian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,Non-white,Same gender,Incongruent,Different category
participant_0003,67,67,FACES,FACES,anger,anger,TRUE,2.3362,S223,young,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0003,68,68,AI,AI-white,surprise,surprise,TRUE,1.562,S042,middle,man,white,dark,a,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Different gender,Congruent,Exact match
